id	placeName	QID	dvp_id	coordinate location
dvp_068_place_62	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_068_place_63	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_068_place_64	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_068_place_65	Vietnam	Q881		16,108
dvp_068_place_66	Vietnam	Q881		16,108
dvp_068_place_67	Vietnam	Q881		16,108
dvp_068_place_68	United States of America	Q30		39.828175,-98.5795
dvp_068_place_69	Fort Hood	Q783854		31.1344744,-97.7797191
dvp_068_place_70	Vietnam	Q881		16,108
dvp_068_place_71	United States of America	Q30		39.828175,-98.5795
dvp_068_place_72	Vietnam	Q881		16,108
dvp_068_place_73	Dartmouth College	Q49116		43.703333333333,-72.288333333333
dvp_068_place_74	Fort Lesley J. McNair	Q1438599		38.867,-77.016
dvp_068_place_75	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_068_place_76	Ho Chi Minh City	Q1854		10.816666666667,106.63333333333
dvp_068_place_77	Fort Hood	Q783854		31.1344744,-97.7797191
dvp_068_place_78	Texas	Q1439		31,-100
dvp_068_place_79	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_068_place_80	Washington, D.C.	Q61		38.895,-77.036666666667
dvp_068_place_81	Fort Hood	Q783854		31.1344744,-97.7797191
dvp_068_place_82	Fort Knox	Q8962067		37.89278,-85.97444
dvp_068_place_83	Fort Knox	Q8962067		37.89278,-85.97444
dvp_068_place_84	Fort Hood	Q783854		31.1344744,-97.7797191
dvp_068_place_85	Fort Hood	Q783854		31.1344744,-97.7797191
dvp_068_place_86	Vietnam	Q881		16,108
dvp_068_place_87	Vietnam	Q881		16,108
dvp_068_place_88	Vietnam	Q881		16,108
dvp_068_place_89	Vietnam	Q881		16,108
dvp_068_place_90	Vietnam	Q881		16,108
dvp_068_place_91	Vietnam	Q881		16,108
dvp_068_place_92	Vietnam	Q881		16,108
dvp_068_place_93	Vietnam	Q881		16,108
dvp_068_place_94	Syria	Q858		35.216667,38.583333
dvp_068_place_95	Fort Hood	Q783854		31.1344744,-97.7797191
dvp_068_place_96	Fort Polk South	Q1922637		31.0469,-93.2111
dvp_068_place_97	Fort Benning	Q1438462		32.366111111111,-84.969166666667
dvp_068_place_98	Vietnam	Q881		16,108
dvp_068_place_99	Vietnam	Q881		16,108
dvp_068_place_100	Fort Hood	Q783854		31.1344744,-97.7797191
dvp_068_place_101	Galveston	Q135744		29.3013889,-94.7977778
dvp_068_place_102	Vietnam	Q881		16,108
dvp_068_place_103	Oakland	Q17042		37.8,-122.25
dvp_068_place_104	Golden Gate Bridge	Q44440		37.819722222222,-122.47861111111
dvp_068_place_105	Da Nang	Q25282		16.069444444444443,108.20972222222223
dvp_068_place_106	Golden Gate Bridge	Q44440		37.819722222222,-122.47861111111
dvp_068_place_107	Vietnam	Q881		16,108
dvp_068_place_108	Vietnam	Q881		16,108
dvp_068_place_109	Vietnam	Q881		16,108
dvp_068_place_110	Dartmouth College Library	Q52633263		43.7054,-72.2887
dvp_068_place_111	Hanover	Q131908		43.7,-72.28333333333333
dvp_068_place_112	Vietnam	Q881		16,108
dvp_068_place_113	Vietnam	Q881		16,108
