id	placeName	coordinate location	QID	dvp_id
dvp_202_place_50	Boston	42.360277777777775,-71.05777777777777	Q100	
dvp_202_place_51	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_52	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_53	Mississippi	33,-90	Q1494	
dvp_202_place_54	New York City	40.7,-74	Q60	
dvp_202_place_55	New York City	40.7,-74	Q60	
dvp_202_place_56	Hicksville	40.7633,-73.5233	Q3452166	
dvp_202_place_57	Hicksville	40.7633,-73.5233	Q3452166	
dvp_202_place_58	Long Island	40.805805,-73.253616	Q18438	
dvp_202_place_59	Long Island	40.805805,-73.253616	Q18438	
dvp_202_place_60	Nassau County	40.747222222222,-73.638055555556	Q54064	
dvp_202_place_61	Hicksville	40.7633,-73.5233	Q3452166	
dvp_202_place_62	Nassau County	40.747222222222,-73.638055555556	Q54064	
dvp_202_place_63	Germany	51,10	Q183	
dvp_202_place_64	Germany	51,10	Q183	
dvp_202_place_65	Germany	51,10	Q183	
dvp_202_place_66	Germany	51,10	Q183	
dvp_202_place_67	Kiel Canal	53.883333333333,9.1333333333333	Q144825	
dvp_202_place_68	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_69	Riga	56.9475,24.106944444444	Q1773	
dvp_202_place_70	Latvia	57,25	Q211	
dvp_202_place_71	United States of America	39.828175,-98.5795	Q30	
dvp_202_place_72	Queens	40.704166666667,-73.917777777778	Q18424	
dvp_202_place_73	New York City	40.7,-74	Q60	
dvp_202_place_74	Milwaukee	43.05,-87.95	Q37836	
dvp_202_place_75	Hanover	43.7,-72.28333333333333	Q131908	
dvp_202_place_76	Church of Christ at Dartmouth College	43.706097, -72.288020	Q125258546	
dvp_202_place_77	Hicksville	40.7633,-73.5233	Q3452166	
dvp_202_place_78	Massachusetts	42.3,-71.8	Q771	
dvp_202_place_79	Massachusetts	42.3,-71.8	Q771	
dvp_202_place_80	Dartmouth College	43.703333333333,-72.288333333333	Q49116	
dvp_202_place_81	Pennsylvania	41,-77.5	Q1400	
dvp_202_place_82	Hanover	43.7,-72.28333333333333	Q131908	
dvp_202_place_83	The Green	43.7033,-72.2886	Q7738117	
dvp_202_place_84	The Green	43.7033,-72.2886	Q7738117	
dvp_202_place_85	Mount Moosilauke	44.024511111111,-71.830916666667	Q3321961	
dvp_202_place_86	Alpha Chi Alpha	43.707,-72.29279	Q4735004	
dvp_202_place_87	Choate Cluster	43.707306,-72.291034	Q101445656	
dvp_202_place_88	Choate Cluster	43.707306,-72.291034	Q101445656	
dvp_202_place_89	Massachusetts Row	43.703794,-72.290354	Q105718813	
dvp_202_place_90	Estonia	59,26	Q191	
dvp_202_place_91	Latvia	57,25	Q211	
dvp_202_place_92	Lithuania	55.2,24	Q37	
dvp_202_place_93	The Green	43.7033,-72.2886	Q7738117	
dvp_202_place_94	Vietnam	16,108	Q881	
dvp_202_place_95	Southeast Asia	12,105.1	Q11708	
dvp_202_place_96	Vietnam	16,108	Q881	
dvp_202_place_97	Vietnam	16,108	Q881	
dvp_202_place_98	The Green	43.7033,-72.2886	Q7738117	
dvp_202_place_99	Dartmouth College	43.703333333333,-72.288333333333	Q49116	
dvp_202_place_101	Church of Christ at Dartmouth College	43.706097, -72.288020	Q125258546	
