id	orgName	QID	dvd_id
dvp_021_org_107	United States Marine Corps	Q11218	
dvp_021_org_108	United States Marine Corps	Q11218	
dvp_021_org_109	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_110	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_111	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_112	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_113	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_114	United States Marine Corps	Q11218	
dvp_021_org_115	United States Marine Corps	Q11218	
dvp_021_org_116	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_117	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_118	United States Marine Corps	Q11218	
dvp_021_org_119	North Vietnamese regular army	Q101243309	
dvp_021_org_120	2nd Battalion 9th Marines	Q4633585	
dvp_021_org_121	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_122	United States Marine Corps	Q11218	
dvp_021_org_123	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_124	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_125	Provisional Revolutionary Government of the Republic of South Vietnam	Q1072362	
dvp_021_org_126	Provisional Revolutionary Government of the Republic of South Vietnam	Q1072362	
dvp_021_org_127	Army of the Republic of Vietnam	Q18917	
dvp_021_org_128	Army of the Republic of Vietnam	Q18917	
dvp_021_org_129	Army of the Republic of Vietnam	Q18917	
dvp_021_org_130	Army of the Republic of Vietnam	Q18917	
dvp_021_org_131	Army of the Republic of Vietnam	Q18917	
dvp_021_org_132	Army of the Republic of Vietnam	Q18917	
dvp_021_org_133	Army of the Republic of Vietnam	Q18917	
dvp_021_org_134	Army of the Republic of Vietnam	Q18917	
dvp_021_org_135	Army of the Republic of Vietnam	Q18917	
dvp_021_org_136	United States Army	Q9212	
dvp_021_org_137	United States Marine Corps	Q11218	
dvp_021_org_138	Army of the Republic of Vietnam	Q18917	
dvp_021_org_139	United States Armed Forces	Q11211	
dvp_021_org_140	United States Army	Q9212	
dvp_021_org_141	United States Marine Corps	Q11218	
dvp_021_org_142	United States Army	Q9212	
dvp_021_org_143	Army of the Republic of Vietnam	Q18917	
dvp_021_org_144	United States Marine Corps	Q11218	
dvp_021_org_145	Army of the Republic of Vietnam	Q18917	
dvp_021_org_146	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_147	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_148	North Vietnamese regular army	Q101243309	
dvp_021_org_149	Headquarters and Service Company	Q17147214	
dvp_021_org_150	Headquarters and Service Company	Q17147214	
dvp_021_org_151	United States Army	Q9212	
dvp_021_org_152	United States Marine Corps	Q11218	
dvp_021_org_153	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_154	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_155	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_156	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_157	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_158	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_159	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_160	2nd Battalion 9th Marines	Q4633585	
dvp_021_org_161	2nd Battalion 9th Marines	Q4633585	
dvp_021_org_162	North Vietnamese regular army	Q101243309	
dvp_021_org_163	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_164	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_165	Army of the Republic of Vietnam	Q18917	
dvp_021_org_166	United States Armed Forces	Q11211	
dvp_021_org_167	North Vietnamese regular army	Q101243309	
dvp_021_org_168	North Vietnamese regular army	Q101243309	
dvp_021_org_169	North Vietnamese regular army	Q101243309	
dvp_021_org_170	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_171	North Vietnamese regular army	Q101243309	
dvp_021_org_172	North Vietnamese regular army	Q101243309	
dvp_021_org_173	3rd Marine Regiment	Q4636844	
dvp_021_org_174	4th Marine Regiment	Q4639354	
dvp_021_org_175	United States of America	Q30	
dvp_021_org_176	North Vietnamese regular army	Q101243309	
dvp_021_org_177	9th Marine Regiment	Q4646609	
dvp_021_org_178	North Vietnamese regular army	Q101243309	
dvp_021_org_179	North Vietnamese regular army	Q101243309	
dvp_021_org_180	North Vietnamese regular army	Q101243309	
dvp_021_org_181	North Vietnamese regular army	Q101243309	
dvp_021_org_182	North Vietnamese regular army	Q101243309	
dvp_021_org_183	United States of America	Q30	
dvp_021_org_184	North Vietnamese regular army	Q101243309	
dvp_021_org_185	North Vietnamese regular army	Q101243309	
dvp_021_org_186	North Vietnamese regular army	Q101243309	
dvp_021_org_187	North Vietnamese regular army	Q101243309	
dvp_021_org_188	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_189	North Vietnamese regular army	Q101243309	
dvp_021_org_190	North Vietnamese regular army	Q101243309	
dvp_021_org_191	North Vietnamese regular army	Q101243309	
dvp_021_org_192	North Vietnamese regular army	Q101243309	
dvp_021_org_193	North Vietnamese regular army	Q101243309	
dvp_021_org_194	North Vietnamese regular army	Q101243309	
dvp_021_org_195	North Vietnamese regular army	Q101243309	
dvp_021_org_196	North Vietnamese regular army	Q101243309	
dvp_021_org_197	North Vietnamese regular army	Q101243309	
dvp_021_org_198	North Vietnamese regular army	Q101243309	
dvp_021_org_199	North Vietnamese regular army	Q101243309	
dvp_021_org_200	North Vietnamese regular army	Q101243309	
dvp_021_org_201	North Vietnamese regular army	Q101243309	
dvp_021_org_202	North Vietnamese regular army	Q101243309	
dvp_021_org_203	North Vietnamese regular army	Q101243309	
dvp_021_org_204	United States Marine Corps	Q11218	
dvp_021_org_205	North Vietnamese regular army	Q101243309	
dvp_021_org_206	North Vietnamese regular army	Q101243309	
dvp_021_org_207	North Vietnamese regular army	Q101243309	
dvp_021_org_208	North Vietnamese regular army	Q101243309	
dvp_021_org_209	North Vietnamese regular army	Q101243309	
dvp_021_org_210	North Vietnamese regular army	Q101243309	
dvp_021_org_211	North Vietnamese regular army	Q101243309	
dvp_021_org_212	North Vietnamese regular army	Q101243309	
dvp_021_org_213	North Vietnamese regular army	Q101243309	
dvp_021_org_214	North Vietnamese regular army	Q101243309	
dvp_021_org_215	North Vietnamese regular army	Q101243309	
dvp_021_org_216	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_217	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_218	National Front for the Liberation of South Vietnam	Q174423	
dvp_021_org_219	Los Angeles Times	Q188515	
dvp_021_org_220	United States Marine Corps	Q11218	
dvp_021_org_221	United States Sixth Fleet	Q2381805	
dvp_021_org_222	Israel	Q801	
dvp_021_org_223	United States of America	Q30	
dvp_021_org_224	United States Navy	Q11220	
dvp_021_org_225	Israel	Q801	
dvp_021_org_226	United States of America	Q30	
dvp_021_org_227	Israel	Q801	
dvp_021_org_228	Israel	Q801	
dvp_021_org_229	United States Navy	Q11220	
dvp_021_org_230	United States Marine Corps	Q11218	
dvp_021_org_231	United States Navy	Q11220	
dvp_021_org_232	United States Marine Corps	Q11218	
dvp_021_org_233	United States Army	Q9212	
