id	placeName	QID	coordinate location
dvp_100_place_80	San Francisco	Q62	37.7775,-122.41638888888889
dvp_100_place_81	United States of America	Q30	39.828175,-98.5795
dvp_100_place_82	Vietnam	Q881	16,108
dvp_100_place_83	Letterman Army Hospital	Q6533682	37.7994,-122.449
dvp_100_place_84	Presidio of San Francisco	Q1755360	37.798055555556,-122.46583333333
dvp_100_place_85	South Dakota	Q1211	44.5,-100
dvp_100_place_86	Vietnam	Q881	16,108
dvp_100_place_87	Post Street	Q108547797	
dvp_100_place_88	San Francisco	Q62	37.7775,-122.41638888888889
dvp_100_place_89	Hamburger Hill	Q96467927	
dvp_100_place_90	Union Square	Q527972	37.788055555556,-122.4075
dvp_100_place_91	San Francisco	Q62	37.7775,-122.41638888888889
dvp_100_place_92	Vietnam	Q881	16,108
dvp_100_place_93	San Francisco	Q62	37.7775,-122.41638888888889
dvp_100_place_94	Vietnam	Q881	16,108
dvp_100_place_95	San Francisco	Q62	37.7775,-122.41638888888889
dvp_100_place_96	San Francisco	Q62	37.7775,-122.41638888888889
dvp_100_place_97	Smith College	Q49204	42.3175,-72.6375
dvp_100_place_98	Collis Center for Student Involvement	Q100725367	43.70277,-72.28991
dvp_100_place_99	Thailand	Q869	14,101
dvp_100_place_100	Vietnam	Q881	16,108
dvp_100_place_101	Native American House	Q108881811	43.70788665125528,-72.28444963634865
dvp_100_place_102	Smith College	Q49204	42.3175,-72.6375
dvp_100_place_103	Smith College	Q49204	42.3175,-72.6375
dvp_100_place_104	Vietnam	Q881	16,108
dvp_100_place_105	District of Columbia	Q3551781	38.916944444444,-77.008611111111
dvp_100_place_106	Dartmouth Vietnam		
dvp_100_place_107	Parkhurst Hall	Q100952777	43.70404,-72.28995
dvp_100_place_108	South Dakota	Q1211	44.5,-100
dvp_100_place_109	Minnesota	Q1527	46,-94
dvp_100_place_110	New York City	Q60	40.712728,-74.006015
dvp_100_place_111	Vietnam	Q881	16,108
