id	orgName	QID	dvp_id
dvp_044_org_203	Pacific Bell	Q7122309	
dvp_044_org_204	Freddie Mac	Q935969	
dvp_044_org_205	Amazon	Q3884	
dvp_044_org_206	CreateSpace.com	Q15803989	
dvp_044_org_207	Amazon	Q3783	
dvp_044_org_208	Amazon	Q3783	
dvp_044_org_209	Dartmouth College	Q49116	
dvp_044_org_210	Georgetown University Law Center	Q846101	
dvp_044_org_211	International Herald Tribune	Q100294968	
dvp_044_org_212	Dartmouth Vietnam Project	Q104889683	
