id	placeName	QID	dvp_id	coordinates
dvp_002_place_130	Boston	Q100		42.358333333333,-71.0625
dvp_002_place_131	United States of America	Q30		39.828175,-98.5795
dvp_002_place_132	United States of America	Q30		39.828175,-98.5795
dvp_002_place_133	United States of America	Q30		39.828175,-98.5795
dvp_002_place_134	Chelsea Naval Hospital	Q5090110		42.3897,-71.0476
dvp_002_place_135	Boston	Q100		42.358333333333,-71.0625
dvp_002_place_136	Vietnam	Q881		16,108
dvp_002_place_137	Chelsea	Q54156		42.391666666667,-71.033333333333
dvp_002_place_138	Vietnam	Q881		16,108
dvp_002_place_139	Brooklyn VA Medical Center	Q102118328		40.60791,-74.02411
dvp_002_place_140	Chelsea	Q54156		42.391666666667,-71.033333333333
dvp_002_place_141	Chicago	Q1297		41.881944444444,-87.627777777778
dvp_002_place_142	Chelsea	Q54156		42.391666666667,-71.033333333333
dvp_002_place_143	West Roxbury VA Medical Center	Q89037429		42.27889,-71.16826
dvp_002_place_144	West Roxbury VA Medical Center	Q89037429		42.27889,-71.16826
dvp_002_place_145	Chelsea Naval Hospital	Q5090110		42.3897,-71.0476
dvp_002_place_146	Vietnam	Q881		16,108
dvp_002_place_147	Boston Common	Q49132		42.355,-71.065555555556
dvp_002_place_148	Tremont Street	Q7838158		42.3581,-71.0606
dvp_002_place_149	Boston	Q100		42.358333333333,-71.0625
dvp_002_place_150	California	Q99		37,-120
dvp_002_place_151	California	Q99		37,-120
dvp_002_place_152	Veterans Administration hospital	Q95984744		42.27889,-71.16826
dvp_002_place_153	Boston	Q100		42.358333333333,-71.0625
dvp_002_place_154	California	Q99		37,-120
dvp_002_place_155	Veterans Administration hospital	Q95984744		42.27889,-71.16826
dvp_002_place_156	Dong Ap Bia	Q8520389		16.25,107.18333333333
dvp_002_place_157	Cambodia	Q424		12.6,105
dvp_002_place_158	Veterans Administration hospital	Q95984744		42.27889,-71.16826
dvp_002_place_159	Boston	Q100		42.358333333333,-71.0625
dvp_002_place_160	California	Q99		37,-120
dvp_002_place_161	East Bay	Q2617944		37.7,-122
dvp_002_place_162	Oakland	Q17042		37.8,-122.25
dvp_002_place_163	San Francisco	Q62		37.7775,-122.41638888888889
dvp_002_place_164	Boston	Q100		42.358333333333,-71.0625
dvp_002_place_165	Boston	Q100		42.358333333333,-71.0625
dvp_002_place_166	California	Q99		37,-120
dvp_002_place_167	San Francisco Bay	Q232264		37.6546543,-122.2374676
dvp_002_place_168	Palo Alto	Q47265		37.429166666667,-122.13805555556
dvp_002_place_169	Stanford Memorial Church	Q1547699		37.4268,-122.171
dvp_002_place_170	Palo Alto	Q47265		37.429166666667,-122.13805555556
dvp_002_place_171	Vietnam	Q881		16,108
dvp_002_place_172	Vietnam	Q881		16,108
dvp_002_place_173	Vermont	Q16551		44,-72.7
dvp_002_place_174	Vietnam	Q881		16,108
dvp_002_place_175	Stanford University	Q41506		37.4282293,-122.1688576
dvp_002_place_176	California	Q99		37,-120
dvp_002_place_177	Palo Alto	Q47265		37.429166666667,-122.13805555556
dvp_002_place_178	Buffalo	Q40435		42.904722222222,-78.849444444444
dvp_002_place_179	United States of America	Q30		39.828175,-98.5795
dvp_002_place_180	Cambodia	Q424		12.6,105
dvp_002_place_181	United States of America	Q30		39.828175,-98.5795
dvp_002_place_182	Canada	Q16		56,-109
dvp_002_place_183	Vietnam	Q881		16,108
dvp_002_place_184	Vietnam	Q881		16,108
dvp_002_place_185	Vietnam	Q881		16,108
dvp_002_place_186	Canada	Q16		56,-109
dvp_002_place_187	Baltimore	Q5092		39.286388888889,-76.615
dvp_002_place_188	Baltimore	Q5092		39.286388888889,-76.615
dvp_002_place_189	California	Q99		37,-120
dvp_002_place_190	Palo Alto	Q47265		37.429166666667,-122.13805555556
dvp_002_place_191	Santa Rosa	Q212991		38.448611111111,-122.70472222222
dvp_002_place_192	Sonoma	Q11592		38.288888888889,-122.45888888889
dvp_002_place_193	Santa Rosa	Q212991		38.448611111111,-122.70472222222
dvp_002_place_194	Santa Rosa	Q212991		38.448611111111,-122.70472222222
dvp_002_place_195	San Diego	Q16552		32.715,-117.1625
dvp_002_place_196	Vietnam	Q881		16,108
dvp_002_place_197	Vietnam	Q881		16,108
dvp_002_place_198	California	Q99		37,-120
dvp_002_place_199	Vietnam	Q881		16,108
dvp_002_place_200	Alaska	Q797		64,-150
dvp_002_place_201	Vietnam	Q881		16,108
dvp_002_place_202	Vietnam	Q881		16,108
dvp_002_place_203	Palo Alto	Q47265		37.429166666667,-122.13805555556
dvp_002_place_204	Veterans Administration hospital	Q95984744		42.27889,-71.16826
dvp_002_place_205	Palo Alto	Q47265		37.429166666667,-122.13805555556
dvp_002_place_206	Chelsea	Q54156		42.391666666667,-71.033333333333
dvp_002_place_207	Long Beach	Q16739		33.768321,-118.1956168
dvp_002_place_208	Boston	Q100		42.358333333333,-71.0625
