id	name	point in time	end time	start time	QID	dvp_id
dvp_052_event_23	Battle of Khe Sanh	1968-07-09T00:00:00Z	1968-04-08T00:00:00Z	1968-01-21T00:00:00Z	Q247253	
dvp_052_event_24	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_25	Afghanistan War		2014-12-28T00:00:00Z	2001-10-07T00:00:00Z	Q182865	
dvp_052_event_26	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_27	World War II		1945-09-02T00:00:00Z	1939-09-01T00:00:00Z	Q362	
dvp_052_event_28	Battle of Hamburger Hill	1969-05-20T00:00:00Z	1969-05-20T00:00:00Z	1969-05-10T00:00:00Z	Q247395	
dvp_052_event_29	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_30	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_31	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_32	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_33	Iraq War		2011-12-15T00:00:00Z	2003-03-20T00:00:00Z	Q545449	
dvp_052_event_34	Afghanistan War		2014-12-28T00:00:00Z	2001-10-07T00:00:00Z	Q182865	
dvp_052_event_35	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_36	Watergate scandal	1972-06-17T00:00:00Z			Q42761	
dvp_052_event_37	Watergate scandal	1972-06-17T00:00:00Z			Q42761	
dvp_052_event_38	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_39	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_40	Watergate scandal	1972-06-17T00:00:00Z			Q42761	
dvp_052_event_41	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_42	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_43	Watergate scandal	1972-06-17T00:00:00Z			Q42761	
dvp_052_event_44	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_45	World War II		1945-09-02T00:00:00Z	1939-09-01T00:00:00Z	Q362	
dvp_052_event_46	September 11 attacks	2001-09-11T00:00:00Z			Q10806	
dvp_052_event_47	Iraq War		2011-12-15T00:00:00Z	2003-03-20T00:00:00Z	Q545449	
dvp_052_event_48	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_49	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_50	Iraq War		2011-12-15T00:00:00Z	2003-03-20T00:00:00Z	Q545449	
dvp_052_event_51	Afghanistan War		2014-12-28T00:00:00Z	2001-10-07T00:00:00Z	Q182865	
dvp_052_event_52	World War II		1945-09-02T00:00:00Z	1939-09-01T00:00:00Z	Q362	
dvp_052_event_53	Korean War		1953-07-27T00:00:00Z	1950-06-25T00:00:00Z	Q8663	
dvp_052_event_54	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_55	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_56	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_57	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
dvp_052_event_58	Vietnam War		1975-04-30T00:00:00Z	1959-01-01T00:00:00Z	Q8740	
