id	orgName	Qid	dvd_id
dvp_098_org_48	Vietnam Summer Campaign	Q107527919	
dvp_098_org_49	Nightly News [sic; CBS Evening News] [Transcriber's note: Or perhaps he means the nightly news generically]		
dvp_098_org_50	Students for a Democratic Society	Q2250103	
dvp_098_org_51	Students for a Democratic Society at Dartmouth	Q105445832	
dvp_098_org_52	Dartmouth College	Q49116	
dvp_098_org_53	Students for a Democratic Society	Q2250103	
dvp_098_org_54	Young Americans for Freedom	Q8057921	
dvp_098_org_55	Students for a Democratic Society	Q2250103	
dvp_098_org_56	Students for a Democratic Society	Q2250103	
dvp_098_org_57	Dartmouth College	Q49116	
dvp_098_org_58	Reserve Officers' Training Corps	Q489983	
dvp_098_org_59	Dartmouth College	Q49116	
dvp_098_org_60	Dartmouth College	Q49116	
dvp_098_org_61	Dartmouth College	Q49116	
dvp_098_org_62	Reserve Officers' Training Corps	Q489983	
dvp_098_org_63	United States Army	Q9212	
dvp_098_org_64	United States Marine Corps	Q11218	
dvp_098_org_65	Dartmouth College	Q49116	
dvp_098_org_66	Reserve Officers' Training Corps	Q489983	
dvp_098_org_67	Reserve Officers' Training Corps	Q489983	
dvp_098_org_68	Reserve Officers' Training Corps	Q489983	
dvp_098_org_69	Reserve Officers' Training Corps	Q489983	
dvp_098_org_70	Students for a Democratic Society	Q2250103	
dvp_098_org_71	New Hampshire State Police	Q17109452	
dvp_098_org_72	New Hampshire State Police	Q17109452	
dvp_098_org_73	National Guard of the United States	Q928670	
dvp_098_org_74	New Hampshire State Police	Q17109452	
dvp_098_org_75	New Hampshire State Police	Q17109452	
dvp_098_org_76	New Hampshire State Police	Q17109452	
dvp_098_org_77	Dartmouth College	Q49116	
dvp_098_org_78	Dartmouth College	Q49116	
dvp_098_org_79	Dartmouth College	Q49116	
dvp_098_org_80	Dow Chemical Company	Q855639	
dvp_098_org_81	United States Marine Corps	Q11218	
dvp_098_org_82	Dow Chemical Company	Q855639	
dvp_098_org_83	United States Marine Corps	Q11218	
dvp_098_org_84	Dow Chemical Company	Q855639	
dvp_098_org_85	Students for a Democratic Society	Q2250103	
dvp_098_org_86	Reserve Officers' Training Corps	Q489983	
dvp_098_org_87	Dartmouth College	Q49116	
dvp_098_org_88	Reserve Officers' Training Corps	Q489983	
dvp_098_org_89	Dartmouth College	Q49116	
dvp_098_org_90	Reserve Officers' Training Corps	Q489983	
dvp_098_org_91	Dartmouth College	Q49116	
dvp_098_org_92	Reserve Officers' Training Corps	Q489983	
dvp_098_org_93	Dartmouth College	Q49116	
dvp_098_org_94	Reserve Officers' Training Corps	Q489983	
dvp_098_org_95	American Civil Liberties Union	Q21637	
dvp_098_org_96	Ivy League	Q49113	
dvp_098_org_97	Dartmouth College	Q49116	
dvp_098_org_98	Ivy League	Q49113	
dvp_098_org_99	Ivy League	Q49113	
dvp_098_org_100	Dartmouth College	Q49116	
dvp_098_org_101	CCSG, the College Committee on Standing		dvp_0233
dvp_098_org_102	Students for a Democratic Society	Q2250103	
dvp_098_org_103	Dartmouth College	Q49116	
dvp_098_org_104	Dartmouth College	Q49116	
dvp_098_org_105	Dartmouth College	Q49116	
dvp_098_org_106	Dartmouth College	Q49116	
dvp_098_org_107	Dartmouth College	Q49116	
dvp_098_org_108	Dartmouth College	Q49116	
dvp_098_org_109	United States Army	Q9212	
dvp_098_org_110	University of Maryland, Baltimore County	Q735049	
dvp_098_org_111	University of Maryland, Baltimore County	Q735049	
dvp_098_org_112	University of Maryland, Baltimore County	Q735049	
dvp_098_org_113	University of Maryland, Baltimore County	Q735049	
dvp_098_org_114	Students for a Democratic Society	Q2250103	
dvp_098_org_115	Students for a Democratic Society	Q2250103	
dvp_098_org_116	Dartmouth College	Q49116	
dvp_098_org_117	Ivy League	Q49113	
dvp_098_org_118	Ivy League	Q49113	
dvp_098_org_119	Dartmouth College	Q49116	
dvp_098_org_120	Dartmouth College	Q49116	
dvp_098_org_121	Dartmouth College	Q49116	
dvp_098_org_122	Dartmouth College	Q49116	
dvp_098_org_123	Truth and Reconciliation Commission	Q373032	
dvp_098_org_124	University of Maryland, Baltimore County	Q735049	
dvp_098_org_125	University of Maryland, Baltimore County	Q735049	
dvp_098_org_126	Jackson State University	Q1747601	
dvp_098_org_127	National Guard of the United States	Q928670	
dvp_098_org_128	National Guard of the United States	Q928670	
dvp_098_org_129	Dartmouth College	Q49116	
dvp_098_org_130	University of Maryland, Baltimore County	Q735049	
dvp_098_org_131	Venceremos Brigade	Q7919570	
dvp_098_org_132	Venceremos Brigade	Q7919570	
dvp_098_org_133	Students for a Democratic Society	Q2250103	
dvp_098_org_134	Cuba	Q241	
dvp_098_org_135	Weather Underground	Q1163724	
dvp_098_org_136	Black Panther Party	Q189150	
dvp_098_org_137	New England School of Acupuncture	Q30281286	
dvp_098_org_138	Mass Save Data	Q75177871	
dvp_098_org_139	Whole Foods Market	Q1809448	
dvp_098_org_140	Dartmouth College	Q49116	
dvp_098_org_141	Dartmouth College	Q49116	
dvp_098_org_142	Contras	Q286810	
dvp_098_org_143	Democratic Party	Q29552	
dvp_098_org_144	Ohio Democratic Party	Q7080791	
dvp_098_org_145	Dartmouth College	Q49116	
dvp_098_org_146	Students for a Democratic Society	Q2250103	
dvp_098_org_147	Dartmouth College	Q49116	
dvp_098_org_148	Dartmouth College	Q49116	
dvp_098_org_149	United States Congress	Q11268	
dvp_098_org_150	Dartmouth College	Q49116	
dvp_098_org_151	Reserve Officers' Training Corps	Q489983	
dvp_098_org_152	Dartmouth College	Q49116	
dvp_098_org_153	Reserve Officers' Training Corps	Q489983	
dvp_098_org_154	Reserve Officers' Training Corps	Q489983	
dvp_098_org_155	Dartmouth College	Q49116	
dvp_098_org_156	Parkhurst		
dvp_098_org_157	Dartmouth College	Q49116	
dvp_098_org_158	Facebook	Q355	
dvp_098_org_159	Facebook	Q355	
dvp_098_org_160	social security	Q2483208	
dvp_098_org_161	social security	Q2483208	
dvp_098_org_162	Dartmouth College	Q49116	
