id	persName	QID	dvp_id	
dvp_094_person_128	Carol		dvp_0950	
dvp_094_person_129	Carol [Krauthamer? 1:01:06] Smith		dvp_0950	
dvp_094_person_130	Barry Goldwater	Q319129		
dvp_094_person_131	Che Guevara	Q5809		
dvp_094_person_132	Billy Joe		dvp_0951	
dvp_094_person_133	William O’Connell		dvp_0951	
dvp_094_person_134	Billy Joe		dvp_0951	
dvp_094_person_135	Che Guevara	Q5809		
dvp_094_person_136	Mr. Frank		dvp_0943	
dvp_094_person_137	Henry A. Wallace	Q251666		
dvp_094_person_138	Henry A. Wallace	Q251666		
dvp_094_person_139	Franklin Delano Roosevelt	Q8007		
dvp_094_person_140	Franklin Delano Roosevelt	Q8007		
dvp_094_person_141	Thomas E. Dewey	Q320061		
dvp_094_person_142	Harry S Truman	Q11613		
dvp_094_person_143	Richard Wagner	Q1511		
dvp_094_person_144	Ray Bradbury	Q40640		
dvp_094_person_145	Ray Bradbury	Q40640		
dvp_094_person_146	Ray Bradbury	Q40640		
dvp_094_person_147	Dorothy Ray Healey	Q5298605		
dvp_094_person_148	Dorothy Ray Healey	Q5298605		
dvp_094_person_149	Mario Savio	Q705051		
dvp_094_person_150	Malcolm X	Q43303		
dvp_094_person_151	Henry Luster		dvp_0952	
dvp_094_person_152	Stephen Samuel Wise	Q1636973		
dvp_094_person_153	Stephen Samuel Wise	Q1636973		
dvp_094_person_154	Moses			
dvp_094_person_155	Pharaoh			
dvp_094_person_156	Bob Dylan	Q392		
dvp_094_person_157	Joan Baez	Q131725		
dvp_094_person_158	Martin Luther King Jr.	Q8027		
dvp_094_person_159	Tim O'Brien	Q1289151		
dvp_094_person_160	Joey		dvp_0953	
dvp_094_person_161	Bill Clinton	Q1124		
dvp_094_person_162	Che Guevara	Q5809		
dvp_094_person_163	Howard Zinn	Q119546		
dvp_094_person_164	Ronald Reagan	Q9960		
dvp_094_person_165	Julio Gallo	Q1712360		
dvp_094_person_166	Ernest Gallo	Q658874		
dvp_094_person_167	Ronald Reagan	Q9960		
dvp_094_person_168	John F. Kennedy	Q9696		
dvp_094_person_169	Martin Luther King Jr.	Q8027		
dvp_094_person_170	George W. Bush	Q207		
dvp_094_person_171	[Ronald S.] “Ron” Suskind	Q1237187		
dvp_094_person_172	Tina Brown	Q446708		
dvp_094_person_173	Kitty Kelley	Q6418571		
dvp_094_person_174	Barack Obama	Q76		
dvp_094_person_175	Donald Trump	Q22686		
dvp_094_person_176	George W. Bush	Q207		
dvp_094_person_177	Arianna Huffington	Q233397		
dvp_094_person_178	Arianna	Q233397		
dvp_094_person_179	Joan Baez	Q131725		
dvp_094_person_180	Bernie Sanders	Q359442		
dvp_094_person_181	George W. Bush	Q207		
dvp_094_person_182	George W. Bush	Q207		
dvp_094_person_183	Colin Powell	Q150851		
dvp_094_person_184	Dick Cheney	Q48259		
dvp_094_person_185	Donald Rumsfeld	Q184650		
dvp_094_person_186	Condoleezza Rice	Q47216		
dvp_094_person_187	Saddam Hussein	Q1316		
dvp_094_person_188	Leonard Beerman	Q18685857		
dvp_094_person_189	Leonard Beerman	Q18685857		
dvp_094_person_190	Justin Frank		dvp_0943	
dvp_094_person_191	Menachem Begin	Q130873		
dvp_094_person_192	Menachem Begin	Q130873		
dvp_094_person_193	Menachem Begin	Q130873		
dvp_094_person_194	Benjamin Spock	Q310694		
dvp_094_person_195	Helen Caldicott	Q431092		
dvp_094_person_196	Helen Caldicott	Q431092		
dvp_094_person_197	Sal Mineo	Q380997		
dvp_094_person_198	James Dean	Q83359		
dvp_094_person_199	Barack Obama	Q76		
dvp_094_person_200	Jim Clark	Q6194208		
dvp_094_person_201	George Wallace	Q3101983		
dvp_094_person_202	Lester Maddox	Q885384		
dvp_094_person_203	Jim Clark	Q6194208		
dvp_094_person_204	Sheriff [William H.] Parker	Q8010542		
dvp_094_person_205	Chief of Police Parker	Q8010542		
dvp_094_person_206	Ralph Waldo Emerson	Q48226		
dvp_094_person_207	Justin		dvp_0954	
dvp_094_person_208	Dr. Frank		dvp_0954	
dvp_094_person_209	Barry Goldwater	Q319129		
dvp_094_person_210	Barry Goldwater	Q319129		
dvp_094_person_211	president			
dvp_094_person_212	president			
dvp_094_person_213	George W. Bush	Q207		
dvp_094_person_214	Ronald Reagan	Q9960		
dvp_094_person_215	Ronald Reagan	Q9960		
dvp_094_person_216	Barack Obama	Q76		
dvp_094_person_217	Ngo Dinh Diem	Q192502		
dvp_094_person_218	Ngo Dinh Diem	Q192502		
dvp_094_person_219	Edward Miller	Q107606594		
dvp_094_person_220	Dr. Frank		dvp_0954	
dvp_094_person_221	Edward Miller	Q107606594		
dvp_094_person_222	Dr. Frank		dvp_0954	
dvp_094_person_223	Lyndon B. Johnson	Q9640		
dvp_094_person_224	Robert McNamara	Q191999		
dvp_094_person_225	Dr. Frank		dvp_0954	
