id	placeName	QID	dvp_id	coordinate location
dvp_076_place_63	Baker Memorial Library	Q4849183		43.705,-72.289166666667
dvp_076_place_64	Rockefeller Center	Q11277		40.758611111111,-73.979194444444
dvp_076_place_65	Rockefeller Center	Q11277		40.758611111111,-73.979194444444
dvp_076_place_66	New York City	Q60		40.67,-73.94
dvp_076_place_67	Rockefeller Center	Q11277		40.758611111111,-73.979194444444
dvp_076_place_68	Orozco Mural Room	Q98615173		43.7051989,-72.2889742
dvp_076_place_69	The Green	Q7738117		43.7033,-72.2886
dvp_076_place_70	The Green	Q7738117		43.7033,-72.2886
dvp_076_place_71	Parkhurst Hall	Q100952777		43.70404,-72.28995
dvp_076_place_72	The Green	Q7738117		43.7033,-72.2886
dvp_076_place_73	Hanover	Q131908		43.7,-72.28333333333333
dvp_076_place_74	University of California, Berkeley	Q168756		37.87,-122.259
dvp_076_place_75	Columbia University	Q49088		40.8075,-73.961944444444
dvp_076_place_76	University of California, Berkeley	Q168756		37.87,-122.259
dvp_076_place_77	Columbia University	Q49088		40.8075,-73.961944444444
dvp_076_place_78	Montana	Q1212		47,-110
dvp_076_place_79	Oregon	Q824		43.935833,-120.575
dvp_076_place_80	Parkhurst Hall	Q100952777		43.70404,-72.28995
dvp_076_place_81	Parkhurst Hall	Q100952777		43.70404,-72.28995
dvp_076_place_82	New Hampshire	Q759		44,-71.5
dvp_076_place_83	[Room] 105, Dartmouth [Hall]		dvp_0661	43.703742, -72.287257
dvp_076_place_84	Columbia University	Q49088		40.8075,-73.961944444444
dvp_076_place_85	University of California, Berkeley	Q168756		37.87,-122.259
dvp_076_place_86	United States of America	Q30		39.828175,-98.5795
dvp_076_place_87	United States of America	Q30		39.828175,-98.5795
dvp_076_place_88	Canada	Q16		56,-109
dvp_076_place_89	Montreal	Q340		45.508888888889,-73.561666666667
dvp_076_place_90	Montreal	Q340		45.508888888889,-73.561666666667
dvp_076_place_91	Montreal	Q340		45.508888888889,-73.561666666667
dvp_076_place_92	Canada	Q16		56,-109
dvp_076_place_93	The Green	Q7738117		43.7033,-72.2886
dvp_076_place_94	Lebanon	Q993523		43.6422,-72.2517
dvp_076_place_95	The Green	Q7738117		43.7033,-72.2886
dvp_076_place_96	The Green	Q7738117		43.7033,-72.2886
dvp_076_place_97	Main Street	Q107523326		43.701133,-72.28946
dvp_076_place_98	West Lebanon	Q7985727		43.649166666667,-72.310277777778
dvp_076_place_99	New Hampshire	Q759		44,-71.5
dvp_076_place_100	Vermont	Q16551		44,-72.7
dvp_076_place_101	Arizona	Q816		34.286667,-111.656944
dvp_076_place_102	Kendal at Hanover	Q107523289		43.729325,-72.267853
dvp_076_place_103	Rauner Special Collections Library	Q98544730		43.70447,-72.28817
dvp_076_place_104	Dartmouth College	Q49116		43.703333333333,-72.288333333333
